Destination,FlightNumber,Code,lat,lng,country,Date,Time,Airline,Armenian,DayOfWeek,Status
Dubai,FZ 716,DXB,25.2631,55.2972,United Arab Emirates,2023-10-25,00:50:00,Flydubai,0,Wednesday,Ontime
Moscow,3F 325,VKO,55.7558,37.6178,Russia,2023-10-25,01:10:00,Fly One,1,Wednesday,Ontime
Sochi,A4 430,AER,43.5853,39.7203,Russia,2023-10-25,01:15:00,Azimuth,0,Wednesday,Ontime
Tyumen,UT 876,TJM,57.15,65.5333,Russia,2023-10-25,01:20:00,Utair,0,Wednesday,Cancelled
Moscow,UT 786,VKO,55.7558,37.6178,Russia,2023-10-25,02:45:00,Utair,0,Wednesday,Ontime
Antalya,PC 557,AYT,36.8874,30.7075,Turkey,2023-10-25,02:55:00,Pegasus Airlines,0,Wednesday,Ontime
Frankfurt,DE 847,FRA,50.1106,8.6822,Germany,2023-10-25,03:45:00,Condor,0,Wednesday,Ontime
Doha,QR 286,DOH,25.2867,51.5333,Qatar,2023-10-25,03:50:00,Qatar Airways,0,Wednesday,Ontime
Athens,A3 899,ATH,37.9842,23.7281,Greece,2023-10-25,04:30:00,Aegean Airlines,0,Wednesday,Ontime
Vienna,OS 642,VIE,48.2083,16.3725,Austria,2023-10-25,04:45:00,Austrian Airlines,0,Wednesday,Ontime
Warsaw,LO 730,WAW,52.23,21.0111,Poland,2023-10-25,05:30:00,LOT Polish Airlines,0,Wednesday,Ontime
Istanbul,3F 475,IST,41.0136,28.955,Turkey,2023-10-25,06:00:00,Fly One,1,Wednesday,Ontime
Riga,BT 727,RIX,56.9489,24.1064,Latvia,2023-10-25,06:40:00,AirBaltic,0,Wednesday,Ontime
Moscow,SU 1967,SVO,55.7558,37.6178,Russia,2023-10-25,06:45:00,Aeroflot,0,Wednesday,Ontime
Istanbul,PC 553,SAW,41.0136,28.955,Turkey,2023-10-25,07:15:00,Pegasus Airlines,0,Wednesday,Ontime
Moscow,G6 403,DME,55.7558,37.6178,Russia,2023-10-25,07:30:00,Fly Arna,1,Wednesday,Ontime
Sochi,G6 401,AER,43.5853,39.7203,Russia,2023-10-25,07:45:00,Fly Arna,1,Wednesday,Ontime
